"®M¥ó","¸ô®|","ª©¥»"
"askpass","C:/Users/user/Documents/R/win-library/3.6","1.1"
"assertthat","C:/Users/user/Documents/R/win-library/3.6","0.2.1"
"backports","C:/Users/user/Documents/R/win-library/3.6","1.1.10"
"base64enc","C:/Users/user/Documents/R/win-library/3.6","0.1-3"
"BH","C:/Users/user/Documents/R/win-library/3.6","1.72.0-3"
"brew","C:/Users/user/Documents/R/win-library/3.6","1.0-6"
"callr","C:/Users/user/Documents/R/win-library/3.6","3.5.1"
"checkmate","C:/Users/user/Documents/R/win-library/3.6","2.0.0"
"cli","C:/Users/user/Documents/R/win-library/3.6","2.1.0"
"clipr","C:/Users/user/Documents/R/win-library/3.6","0.7.1"
"commonmark","C:/Users/user/Documents/R/win-library/3.6","1.7"
"covr","C:/Users/user/Documents/R/win-library/3.6","3.5.1"
"crayon","C:/Users/user/Documents/R/win-library/3.6","1.3.4"
"crosstalk","C:/Users/user/Documents/R/win-library/3.6","1.1.0.1"
"curl","C:/Users/user/Documents/R/win-library/3.6","4.2"
"data.table","C:/Users/user/Documents/R/win-library/3.6","1.12.2"
"desc","C:/Users/user/Documents/R/win-library/3.6","1.2.0"
"devtools","C:/Users/user/Documents/R/win-library/3.6","2.3.2"
"digest","C:/Users/user/Documents/R/win-library/3.6","0.6.25"
"DT","C:/Users/user/Documents/R/win-library/3.6","0.16"
"ellipsis","C:/Users/user/Documents/R/win-library/3.6","0.3.1"
"evaluate","C:/Users/user/Documents/R/win-library/3.6","0.14"
"fansi","C:/Users/user/Documents/R/win-library/3.6","0.4.1"
"fastmap","C:/Users/user/Documents/R/win-library/3.6","1.0.1"
"fs","C:/Users/user/Documents/R/win-library/3.6","1.5.0"
"gh","C:/Users/user/Documents/R/win-library/3.6","1.1.0"
"git2r","C:/Users/user/Documents/R/win-library/3.6","0.27.1"
"glue","C:/Users/user/Documents/R/win-library/3.6","1.4.2"
"highr","C:/Users/user/Documents/R/win-library/3.6","0.8"
"htmltools","C:/Users/user/Documents/R/win-library/3.6","0.5.0"
"htmlwidgets","C:/Users/user/Documents/R/win-library/3.6","1.5.2"
"httpuv","C:/Users/user/Documents/R/win-library/3.6","1.5.4"
"httr","C:/Users/user/Documents/R/win-library/3.6","1.4.2"
"ini","C:/Users/user/Documents/R/win-library/3.6","0.3.1"
"installr","C:/Users/user/Documents/R/win-library/3.6","0.22.0"
"jsonlite","C:/Users/user/Documents/R/win-library/3.6","1.7.1"
"knitr","C:/Users/user/Documents/R/win-library/3.6","1.30"
"later","C:/Users/user/Documents/R/win-library/3.6","1.1.0.1"
"lazyeval","C:/Users/user/Documents/R/win-library/3.6","0.2.2"
"learnr","C:/Users/user/Documents/R/win-library/3.6","0.10.1"
"lhs","C:/Users/user/Documents/R/win-library/3.6","1.0.1"
"lifecycle","C:/Users/user/Documents/R/win-library/3.6","0.2.0"
"magrittr","C:/Users/user/Documents/R/win-library/3.6","1.5"
"markdown","C:/Users/user/Documents/R/win-library/3.6","1.1"
"memoise","C:/Users/user/Documents/R/win-library/3.6","1.1.0"
"mime","C:/Users/user/Documents/R/win-library/3.6","0.9"
"mnormt","C:/Users/user/Documents/R/win-library/3.6","1.5-5"
"openssl","C:/Users/user/Documents/R/win-library/3.6","1.4.3"
"optim.functions","C:/Users/user/Documents/R/win-library/3.6","0.1"
